APPS,Digital Turbine,Software - Application,261.17M,,
APRE,Aprea Therapeutics,Biotechnology,23.73M,,
APT,Alpha Pro Tech,Building Products & Equipment,73.36M,,
APTO,Aptose Biosciences,Biotechnology,24.35M,,
APTV,Aptiv,Auto Parts,21.97B,,
APVO,Aptevo Therapeutics,Biotechnology,3.07M,,
APWC,Asia Pacific Wire & Cable Corporation,Electrical - Equipment & Parts,27.42M,,
APXI,APx Acquisition I,Shell Companies,162.14M,,
APYX,Apyx Medical,Medical - Devices,45.73M,,
AQB,AquaBounty Technologies,Farm Products,8.16M,,
AQMS,Aqua Metals,Waste Management,51.37M,,
AQN,Algonquin Power & Utilities,Utilities - Renewable,4.21B,,
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,321.06M,,
AQU,Aquaron Acquisition,Shell Companies,49.31M,,
AR,Antero Resources,Oil & Gas - Exploration & Production,8.16B,,
ARAY,Accuray,Medical - Devices,257.86M,,
ARBB,ARB IOT Group,Information Technology Services,34.63M,,
ARBE,Arbe Robotics,Software - Infrastructure,157.33M,,
ARBK,Argo Blockchain,Capital Markets,94.08M,,
ARC,ARC Document Solutions,Specialty Business Services,110.34M,,
ARCB,ArcBest,Trucking,3.25B,,
ARCC,Ares Capital,Asset Management,12.17B,,
ARCH,Arch Resources,Thermal Coal,2.99B,,
ARCO,Arcos Dorados Holdings,Restaurants,2.37B,,
ARCT,Arcturus Therapeutics Holdings,Biotechnology,891.70M,,
ARDX,Ardelyx,Biotechnology,1.79B,,
ARE,Alexandria Real Estate Equities,REIT - Office,22.52B,,
AREB,American Rebel Holdings,Footwear & Accessories,1.78M,,
AREC,American Resources,Coal - Coking,119.75M,,
AREN,The Arena Group Holdings,Internet Content & Information,37.44M,,
ARES,Ares Management,Asset Management,41.94B,,
ARGX,argenx SE,Biotechnology,23.88B,,
ARHS,Arhaus,Home Improvement Retail,2.17B,,
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1.64B,,
ARIS,Aris Water Solutions,Utilities - Regulated Water,788.33M,,
ARKO,Arko Corp.,Retail - Specialty,689.99M,,
ARKR,Ark Restaurants,Restaurants,50.64M,,
ARL,American Realty Investors,Real Estate - Development,294.77M,,
ARLO,Arlo Technologies,Security & Protection Services,1.25B,,
ARLP,Alliance Resource Partners,Coal - Thermal,2.55B,,
ARM,Arm Holdings,Semiconductors,77.65B,,
ARMK,Aramark,Business - Speciality Services,8.23B,,
ARMN,Aris Mining,Gold,449.97M,,
ARMP,Armata Pharmaceuticals,Biotechnology,133.38M,,
AROC,Archrock,Oil & Gas - Equipment & Services,3.02B,,
AROW,Arrow Financial,Banks - Regional,413.00M,,
ARQ,Arq, Inc.,Pollution & Treatment Controls,207.41M,,
ARQQ,Arqit Quantum,Software - Infrastructure,123.55M,,
ARQT,Arcutis Biotherapeutics,Biotechnology,1.17B,,
ARR,ARMOUR Residential REIT,REIT - Mortgage,947.21M,,
ARRW,Arrowroot Acquisition,Shell Companies,110.52M,,
ARRY,Array Technologies,Solar,2.07B,,
ARTL,Artelo Biosciences,Biotechnology,4.78M,,
ARTNA,Artesian Resources,Utilities - Regulated Water,365.96M,,
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,10.59M,,
ARVN,Arvinas,Biotechnology,2.95B,,
ARW,Arrow Electronics,Electronics - Distributors,6.55B,,
ARWR,Arrowhead Pharmaceuticals,Biotechnology,3.50B,,
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,89.10M,,
AS,Amer Sports,Leisure,8.13B,,
ASA,ASA Gold and Precious Metals,Asset Management,289.93M,,
ASAI,Sendas Distribuidora,Grocery Stores,3.88B,,
ASAN,Asana,Software - Application,3.46B,,
ASB,Associated Banc-Corp,Banks - Regional,3.09B,,
ASC,Ardmore Shipping,Marine Shipping,694.04M,,
ASCA,A SPAC I Acquisition,Shell Companies,32.38M,,
ASCB,A SPAC II Acquisition,Shell Companies,81.43M,,
ASGN,ASGN Incorporated,Information Technology Services,4.86B,,
ASH,Ashland,Chemicals - Specialty,4.81B,,
ASIX,AdvanSix,Chemicals,713.96M,,
ASLE,AerSale,Airports & Air Services,383.69M,,
ASLN,ASLAN Pharmaceuticals,Biotechnology,12.23M,,
ASM,Avino Silver & Gold Mines,Metals & Mining - Other Precious,75.01M,,
ASMB,Assembly Biosciences,Biotechnology,71.17M,,
ASML,ASML Holding,Semiconductors - Equipment & Materials,388.95B,,
ASND,Ascendis Pharma,Biotechnology,8.29B,,
ASNS,Actelis Networks,Communication Equipment,3.11M,,
ASO,Academy Sports and Outdoors,Retail - Specialty,4.79B,,
ASPI,ASP Isotopes,Chemicals,233.14M,,
ASPN,Aspen Aerogels,Building Products & Equipment,1.20B,,
ASPS,Altisource Portfolio Solutions,Real Estate Services,65.36M,,
ASR,Grupo Aeroportuario del Sureste, S. A. B. de C. V.,Airports & Air Services,9.30B,,
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,99.75M,,
ASRV,AmeriServ Financial,Banks - Regional,46.64M,,
